taxa	Accession	Length	Country	Host	Collection_Date
MW158361|Peru|Human|1995-05-19	MW158361	10665	Peru	Human	1995-05-19
MW158341|Brazil|NHP|1991-06-21	MW158341	10618	Brazil	NHP	1991-06-21
MW158347|Trinidad-and-Tobago|NHP|1989-02-22	MW158347	10666	Trinidad-and-Tobago	NHP	1989-02-22
MW158346|Trinidad-and-Tobago|NHP|1989-01-20	MW158346	10667	Trinidad-and-Tobago	NHP	1989-01-20
MW158345|Trinidad-and-Tobago|NHP|1988-12-14	MW158345	10660	Trinidad-and-Tobago	NHP	1988-12-14
MW158344|Brazil|NHP|1985-06-16	MW158344	10665	Brazil	NHP	1985-06-16
MW158343|Brazil|NHP|1973-02-16	MW158343	10667	Brazil	NHP	1973-02-16
MW158340|Brazil|NHP|1968-06-06	MW158340	10780	Brazil	NHP	1968-06-06
MW158339|Brazil|NHP|1960-09-23	MW158339	10742	Brazil	NHP	1960-09-23
MW158338|Brazil|NHP|1955-01-21	MW158338	10780	Brazil	NHP	1955-01-21
