Accession,Length,Geo_Location,Country,Host,Collection_Date
MH018082,10213,"Brazil: Minas Gerais, Claraval",Brazil,Callithrix sp.,2017-02-20
KY885000,11007,Brazil: Domingos Martins-ES,Brazil,Alouatta guariba clamitans,2017-02-20
MH018083,10213,"Brazil: Minas Gerais, Abre Campo",Brazil,Alouatta sp.,2017-02-17
MK882604,10169,"Brazil: Brejetuba, Espirito Santo",Brazil,Homo sapiens,2017-02-16
MN117917,10172,Brazil,Brazil,Ochlerotatus scapularis,2017-02-15
MH018064,10213,"Brazil: Minas Gerais, Santa Rita de Caldas",Brazil,Alouatta sp.,2017-02-15
MH018066,10213,"Brazil: Minas Gerais, Ouro Fino",Brazil,Alouatta sp.,2017-02-15
MH484431,9763,"Brazil: Minas Gerais, Juatuba",Brazil,Simiiformes,2017-02-14
MH018065,10213,"Brazil: Minas Gerais, Delfinopolis",Brazil,Cebidae,2017-02-14
MH018067,10213,"Brazil: Minas Gerais, Caldas",Brazil,Cebidae,2017-02-13
MF170977,10236,"Brazil: ES, Conceicao do Castelo",Brazil,Homo sapiens,2017-02-10
MK882599,9763,"Brazil: Itarana, Espirito Santo",Brazil,Homo sapiens,2017-02-09
MH484430,10169,"Brazil: Minas Gerais, Sacramento",Brazil,Callithrix sp.,2017-02-09
MH018084,10213,"Brazil: Minas Gerais, Ladainha",Brazil,Callithrix sp.,2017-02-09
MH484428,10169,"Brazil: Minas Gerais, Teofilo Otoni",Brazil,Homo sapiens,2017-02-05
MH484429,10169,"Brazil: Minas Gerais, Chapada Gaucha",Brazil,Callithrix sp.,2017-02-03
MH484433,9763,"Brazil: Minas Gerais, Sao Roque de Minas",Brazil,Simiiformes,2017-02-03
MK249065,10164,Brazil,Brazil,Homo sapiens,2017-02
MK882602,9763,"Brazil: Domingos Martins, Espirito Santo",Brazil,Homo sapiens,2017-01-31
MH018102,10215,"Brazil: Espirito Santo, Domingos Martins",Brazil,Primates,2017-01-31
MH018091,10213,"Brazil: Minas Gerais, Novo Cruzeiro",Brazil,Homo sapiens,2017-01-30
MH018094,10213,"Brazil: Minas Gerais, Simonesia",Brazil,Homo sapiens,2017-01-30
MH018103,10194,"Brazil: Minas Gerais, Novo Cruzeiro",Brazil,Homo sapiens,2017-01-30
MH018104,10195,"Brazil: Minas Gerais, Itambacuri",Brazil,Homo sapiens,2017-01-30
MF170971,10236,"Brazil: MG, Sao Roque de Minas",Brazil,Platyrrhini,2017-01-30
MH018079,10213,"Brazil: Minas Gerais, Itambacuri",Brazil,Homo sapiens,2017-01-28
MH018080,10213,"Brazil: Minas Gerais, Ladainha",Brazil,Homo sapiens,2017-01-28
MH018105,10194,"Brazil: Minas Gerais, Teofilo Otoni",Brazil,Homo sapiens,2017-01-28
MH484425,10169,"Brazil: Minas Gerais, Teofilo Otoni",Brazil,Homo sapiens,2017-01-27
MH018092,10213,"Brazil: Minas Gerais, Itambacuri",Brazil,Homo sapiens,2017-01-27
MH018071,9925,"Brazil: Minas Gerais, Novo Cruzeiro",Brazil,Homo sapiens,2017-01-25
MH018097,10212,"Brazil: Minas Gerais, Luisburgo",Brazil,Callicebus sp.,2017-01-25
MH018098,10213,"Brazil: Minas Gerais, Chapada Gaucha",Brazil,Cebidae,2017-01-25
MF170976,10236,"Brazil: ES, Laranja da Terra",Brazil,Homo sapiens,2017-01-25
MF185660,7969,"Brazil: RJ, Sao Sebastiao do Alto",Brazil,Platyrrhini,2017-01-25
MK882601,10169,"Brazil: Ibatiba, Espirito Santo",Brazil,Homo sapiens,2017-01-24
MH484423,9475,"Brazil: Minas Gerais, Jose Raydan",Brazil,Callithrix sp.,2017-01-24
MH484424,10169,"Brazil: Minas Gerais, Teofilo Otoni",Brazil,Homo sapiens,2017-01-24
MH484427,10169,"Brazil: Minas Gerais, Felicio dos Santos",Brazil,Callithrix sp.,2017-01-24
MH018114,10233,"Brazil: Espirito Santo, Itarana",Brazil,Primates,2017-01-24
MH018115,10233,"Brazil: Espirito Santo, Venda Nova do Imigrante",Brazil,Primates,2017-01-24
MH666057,10185,Brazil,Brazil,Alouatta sp.,2017-01-23
MH484432,9763,"Brazil: Minas Gerais, Bom Jesus do Galho",Brazil,Alouatta sp.,2017-01-23
MH484434,10169,"Brazil: Minas Gerais, Sao Joao Evangelista",Brazil,Homo sapiens,2017-01-22
MT497525,10172,"Brazil: Sao Paulo, Ribeirao Preto",Brazil,Alouatta sp.,2017-01-21
MH018070,10213,"Brazil: Minas Gerais, Itambacuri",Brazil,Homo sapiens,2017-01-21
MH018088,10213,"Brazil: Minas Gerais, Teofilo Otoni",Brazil,Homo sapiens,2017-01-21
MF370538,11007,Brazil,Brazil,Callithrix penicillata,2017-01-20
MH018073,10213,"Brazil: Minas Gerais, Teofilo Otoni",Brazil,Homo sapiens,2017-01-20
MH018093,10213,"Brazil: Minas Gerais, Santa Barbara Leste",Brazil,Homo sapiens,2017-01-20
MH018076,10213,"Brazil: Minas Gerais, Setubinha",Brazil,Homo sapiens,2017-01-19
MH018086,9519,"Brazil: Minas Gerais, Ladainha",Brazil,Homo sapiens,2017-01-19
MH018095,10213,"Brazil: Minas Gerais, Sabinopolis",Brazil,Callithrix sp.,2017-01-19
MH018075,9519,"Brazil: Minas Gerais, Pote",Brazil,Homo sapiens,2017-01-18
MH018078,10213,"Brazil: Minas Gerais, Novo Cruzeiro",Brazil,Homo sapiens,2017-01-18
MF370537,11007,Brazil,Brazil,Simiiformes,2017-01-17
MF465805,10948,Brazil,Brazil,Homo sapiens,2017-01-17
MK583152,10984,"Brazil: Sao Paulo, Ibiuna",Brazil,Homo sapiens,2017-01-16
MF370530,10885,Brazil,Brazil,Haemagogus janthinomys,2017-01-15
MH018069,9509,"Brazil: Minas Gerais, Ladainha",Brazil,Homo sapiens,2017-01-14
MH018074,10213,"Brazil: Minas Gerais, Novo Cruzeiro",Brazil,Homo sapiens,2017-01-14
MH484426,9758,"Brazil: Minas Gerais, Itamarandiba",Brazil,Simiiformes,2017-01-13
MH018085,10213,"Brazil: Minas Gerais, Imbe de Minas",Brazil,Homo sapiens,2017-01-13
MH018096,10213,"Brazil: Minas Gerais, Jose Raydan",Brazil,Alouatta sp.,2017-01-13
MH018106,10213,"Brazil: Minas Gerais, Coronel Murta",Brazil,Alouatta sp.,2017-01-13
MH018090,10213,"Brazil: Minas Gerais, Caratinga",Brazil,Homo sapiens,2017-01-12
MF370533,10881,Brazil,Brazil,Homo sapiens,2017-01-11
MF370532,11005,Brazil,Brazil,Homo sapiens,2017-01-10
MH018087,10213,"Brazil: Minas Gerais, Teofilo Otoni",Brazil,Homo sapiens,2017-01-10
MH018068,10213,"Brazil: Minas Gerais, Caratinga",Brazil,Homo sapiens,2017-01-09
MH018072,10213,"Brazil: Minas Gerais, Itambacuri",Brazil,Homo sapiens,2017-01-07
MH018077,10213,"Brazil: Minas Gerais, Ladainha",Brazil,Homo sapiens,2017-01-07
MH018089,10213,"Brazil: Minas Gerais, Ladainha",Brazil,Homo sapiens,2017-01-02
MH560359,10780,Brazil,Brazil,Homo sapiens,2017-01
MG922934,10786,Germany,Germany,Homo sapiens,2017
MH378284,10172,Brazil,Brazil,Homo sapiens,2017
MF347613,10212,Suriname,Suriname,Homo sapiens,2017
MH666058,10239,Brazil,Brazil,Sapajus sp.,2016-12-19
MT497524,10172,"Brazil: Sao Paulo, Catigua",Brazil,Alouatta sp.,2016-12-12
MT497523,10172,"Brazil: Sao Paulo, Catanduva",Brazil,Alouatta sp.,2016-11-16
MH666056,10236,Brazil,Brazil,Alouatta sp.,2016-11-16
MT497522,10172,"Brazil: Sao Paulo, Jaboticabal",Brazil,Alouatta sp.,2016-11-15
MW034590,10945,Brazil,Brazil,Alouatta caraya,2016-11-01
MT497521,10172,"Brazil: Sao Paulo, Pindorama",Brazil,Alouatta sp.,2016-10-13
MT497520,10172,"Brazil: Sao Paulo, Potirendaba",Brazil,Sapajus sp.,2016-10-10
MF370536,11007,Brazil,Brazil,Alouatta sp.,2016-09-02
MF370535,10897,Brazil,Brazil,Alouatta sp.,2016-08-30
MF370534,11007,Brazil,Brazil,Callithrix penicillata,2016-04-05
KY873608,10345,China,China,Homo sapiens,2016-03-23
KY873607,10744,China,China,Homo sapiens,2016-03-21
KY587416,10763,China,China,Homo sapiens,2016-03-20
KX027336,10823,China,China,Homo sapiens,2016-03-19
MG589641,10789,China,China,Homo sapiens,2016-03-18
KX010996,10823,China,China,Homo sapiens,2016-03-18
KX010995,10822,China,China,Homo sapiens,2016-03-17
KX982182,10623,Angola,Angola,Homo sapiens,2016-03-16
KY873606,9519,China,China,Homo sapiens,2016-03-14
KY495641,10783,China,China,Homo sapiens,2016-03-11
KX268355,10825,China,China,Homo sapiens,2016-03-11
KX010994,10823,China,China,Homo sapiens,2016-03-11
KU921608,10823,China,China,Homo sapiens,2016-03-10
MH633684,10420,China,China,Homo sapiens,2016
MH633685,10420,China,China,Homo sapiens,2016
MH633686,10420,China,China,Homo sapiens,2016
MH633687,10568,China,China,Homo sapiens,2016
MH633688,10420,China,China,Homo sapiens,2016
MH633689,10243,China,China,Homo sapiens,2016
MH633690,10221,China,China,Homo sapiens,2016
MH633691,10838,China,China,Homo sapiens,2016
MH633692,10310,China,China,Homo sapiens,2016
MF370549,10581,Brazil,Brazil,Simiiformes,2015-08-26
MK333804,11007,Brazil: Novo Brasil - GO,Brazil,Sapajus libidinosus,2015-08-17
MF926243,10195,France,France,Cricetinae,2015
JX949181,10815,USA,USA,,2012-07-03
MW158360,10845,Peru,Peru,Homo sapiens,2011-03
JN620362,10820,Uganda,Uganda,Homo sapiens,2010-10
MW158357,10660,Venezuela,Venezuela,Alouatta seniculus,2010
KM388816,10236,Venezuela: Monagas,Venezuela,Alouatta seniculus,2010
MW158364,10622,Trinidad and Tobago: Trinidad,Trinidad and Tobago,Coquillettidia venezuelensis,2009-01-22
MW158366,10659,Trinidad and Tobago: Trinidad,Trinidad and Tobago,Culex spissipes,2009-01-16
MW158367,10666,Trinidad and Tobago: Trinidad,Trinidad and Tobago,Coquillettidia venezuelensis,2009-01-16
HM582851,10236,Trinidad and Tobago,Trinidad and Tobago,Alouatta seniculus,2009
MW158365,10668,Trinidad and Tobago: Trinidad,Trinidad and Tobago,Mansonia titillans,2008-12-05
KY861728,11008,Brazil: Caibate,Brazil,Alouatta,2008-02-09
GQ379162,10862,Peru,Peru,Homo sapiens,2007-10
GQ379163,10862,Peru,Peru,Homo sapiens,2007-10
MW158356,10668,Venezuela,Venezuela,Alouatta seniculus,2007
KM388815,10236,Venezuela: Apure,Venezuela,Alouatta seniculus,2007
MW158355,10675,Venezuela,Venezuela,Alouatta seniculus,2006
KM388818,10236,Venezuela: Barinas,Venezuela,Alouatta seniculus,2006
MW158351,10671,Venezuela,Venezuela,Alouatta seniculus,2005
MW158352,10763,Venezuela,Venezuela,Alouatta seniculus,2005
MW158353,10677,Venezuela,Venezuela,Homo sapiens,2005
MW158354,10705,Venezuela,Venezuela,Homo sapiens,2005
KM388814,10236,Venezuela: Portuguesa,Venezuela,Homo sapiens,2005
JX898877,10862,Senegal,Senegal,Aedes furcifer,2005
JX898878,10862,Senegal,Senegal,Aedes furcifer,2005
JX898879,10862,Senegal,Senegal,Aedes taylori,2005
JX898880,10862,Senegal,Senegal,Aedes luteocephalus,2005
JX898881,10862,Senegal,Senegal,Aedes luteocephalus,2005
MW158349,10673,Venezuela,Venezuela,Alouatta seniculus,2004
MW158350,10659,Venezuela,Venezuela,Alouatta seniculus,2004
MW158358,10376,Peru,Peru,Homo sapiens,2004
KM388817,10236,Venezuela: Guarico,Venezuela,Alouatta seniculus,2004
DQ118157,10862,Spain,Spain,,2004
MH018101,10169,Brazil: Minas Gerais,Brazil,Homo sapiens,2003-08-15
MH018100,10169,Brazil: Minas Gerais,Brazil,Homo sapiens,2003-03-15
JF912190,10859,Brazil,Brazil,Homo sapiens,2002
MG969501,11007,Brazil: Minas Gerais,Brazil,Homo sapiens,2001-03-07
JX898876,10859,Senegal,Senegal,Aedes furcifer,2001
JF912189,11008,Brazil,Brazil,Haemagogus leucocelaenus,2001
MW158342,10859,Brazil,Brazil,Alouatta sp.,2000-02-07
JX898873,10862,Senegal,Senegal,Aedes furcifer,2000
JX898874,10861,Senegal,Senegal,Aedes taylori,2000
JX898875,10857,Senegal,Senegal,Aedes furcifer,2000
JF912187,11008,Brazil,Brazil,Homo sapiens,2000
JF912188,10817,Brazil,Brazil,Homo sapiens,2000
MF004382,10795,Bolivia,Bolivia,Homo sapiens,1999-01-01
MW158359,10668,Peru,Peru,Homo sapiens,1998-01-20
MW158362,10735,Ecuador,Ecuador,Homo sapiens,1997-07
JX898870,10862,Senegal,Senegal,Aedes furcifer,1996
MW158361,10665,Peru,Peru,Homo sapiens,1995-05-19
MW158348,10448,Trinidad and Tobago: Trinidad,Trinidad and Tobago,Haemagogus,1995
JX898868,10862,Senegal,Senegal,Homo sapiens,1995
JX898871,10859,Senegal,Senegal,Aedes aegypti,1995
JX898872,10859,Senegal,Senegal,Aedes aegypti,1995
JF912186,11004,Brazil,Brazil,Homo sapiens,1994
JF912185,11008,Brazil,Brazil,Sabethes,1992
MW158341,10618,Brazil,Brazil,Alouatta sp.,1991-06-21
MW158347,10666,Trinidad and Tobago: Trinidad,Trinidad and Tobago,Alouatta sp.,1989-02-22
MW158346,10667,Trinidad and Tobago: Trinidad,Trinidad and Tobago,Sabethes chloropterus,1989-01-20
MW158345,10660,Trinidad and Tobago: Trinidad,Trinidad and Tobago,Haemagogus janthinomys,1988-12-14
JF912184,11004,Brazil,Brazil,Homo sapiens,1987
MW158344,10665,Brazil,Brazil,Haemagogus janthinomys,1985-06-16
JF912182,10860,Brazil,Brazil,Homo sapiens,1984
JF912183,10852,Brazil,Brazil,Homo sapiens,1984
JF912181,10795,Brazil,Brazil,Homo sapiens,1983
JF912180,11008,Brazil,Brazil,Homo sapiens,1981
JF912179,10889,Brazil,Brazil,Haemagogus,1980
MK060080,10195,Senegal,Senegal,Homo sapiens,1979-10-30
MW158343,10667,Brazil,Brazil,Haemagogus,1973-02-16
JX898869,10848,Cote d'Ivoire,Cote d'Ivoire,Aedes africanus,1973
MW158340,10780,Brazil,Brazil,Saguinus midas,1968-06-06
MW158363,10838,USA,USA,Homo sapiens,1966
KU978765,10851,Guinea-Bissau,Guinea-Bissau,Homo sapiens,1965-08-23
MW158339,10742,Brazil,Brazil,Cebus sp.,1960-09-23
MW158338,10780,Brazil,Brazil,Simiiformes,1955-01-21
KU978763,10804,Nigeria,Nigeria,Homo sapiens,1946
KU978764,10824,Sudan,Sudan,Homo sapiens,1941-06-06
MZ285906,10832,Senegal,Senegal,Homo sapiens,1927
MF405338,10395,Ghana,Ghana,Homo sapiens,1927
